"MEASURE","Measure","PROP_TYPE","Property type","ASGS_2011","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","100","Weighted average of eight capital cities","Q","Quarterly","2020-Q1","Mar-2020",7.4,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","100","Weighted average of eight capital cities","Q","Quarterly","2020-Q2","Jun-2020",6.2,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","100","Weighted average of eight capital cities","Q","Quarterly","2020-Q3","Sep-2020",4.5,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","100","Weighted average of eight capital cities","Q","Quarterly","2020-Q4","Dec-2020",3.6,,
"2","Percentage change from previous quarter","3","Residential property","6GHOB","Greater Hobart","Q","Quarterly","2019-Q1","Mar-2019",-0.4,,
"2","Percentage change from previous quarter","3","Residential property","6GHOB","Greater Hobart","Q","Quarterly","2019-Q2","Jun-2019",0.5,,
"2","Percentage change from previous quarter","3","Residential property","6GHOB","Greater Hobart","Q","Quarterly","2019-Q3","Sep-2019",1.3,,
"2","Percentage change from previous quarter","3","Residential property","6GHOB","Greater Hobart","Q","Quarterly","2019-Q4","Dec-2019",2.7,,
"2","Percentage change from previous quarter","3","Residential property","6GHOB","Greater Hobart","Q","Quarterly","2020-Q1","Mar-2020",2.4,,
"2","Percentage change from previous quarter","3","Residential property","6GHOB","Greater Hobart","Q","Quarterly","2020-Q2","Jun-2020",-0.4,,
"2","Percentage change from previous quarter","3","Residential property","6GHOB","Greater Hobart","Q","Quarterly","2020-Q3","Sep-2020",1.2,,
"2","Percentage change from previous quarter","3","Residential property","6GHOB","Greater Hobart","Q","Quarterly","2020-Q4","Dec-2020",3.1,,
"1","Index Number","2","Established houses","8ACTE","Australian Capital Territory","Q","Quarterly","2019-Q1","Mar-2019",130.8,,
"1","Index Number","2","Established houses","8ACTE","Australian Capital Territory","Q","Quarterly","2019-Q2","Jun-2019",131.6,,
"1","Index Number","2","Established houses","8ACTE","Australian Capital Territory","Q","Quarterly","2019-Q3","Sep-2019",129.7,,
"1","Index Number","2","Established houses","8ACTE","Australian Capital Territory","Q","Quarterly","2019-Q4","Dec-2019",134,,
"1","Index Number","2","Established houses","8ACTE","Australian Capital Territory","Q","Quarterly","2020-Q1","Mar-2020",135.4,,
"1","Index Number","2","Established houses","8ACTE","Australian Capital Territory","Q","Quarterly","2020-Q2","Jun-2020",136.5,,
"1","Index Number","2","Established houses","8ACTE","Australian Capital Territory","Q","Quarterly","2020-Q3","Sep-2020",137.7,,
"1","Index Number","2","Established houses","8ACTE","Australian Capital Territory","Q","Quarterly","2020-Q4","Dec-2020",142.5,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","6GHOB","Greater Hobart","Q","Quarterly","2019-Q1","Mar-2019",3.8,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","6GHOB","Greater Hobart","Q","Quarterly","2019-Q2","Jun-2019",1.3,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","6GHOB","Greater Hobart","Q","Quarterly","2019-Q3","Sep-2019",1.9,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","6GHOB","Greater Hobart","Q","Quarterly","2019-Q4","Dec-2019",4.2,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","6GHOB","Greater Hobart","Q","Quarterly","2020-Q1","Mar-2020",7,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","6GHOB","Greater Hobart","Q","Quarterly","2020-Q2","Jun-2020",6.2,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","6GHOB","Greater Hobart","Q","Quarterly","2020-Q3","Sep-2020",5.9,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","6GHOB","Greater Hobart","Q","Quarterly","2020-Q4","Dec-2020",6.6,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","4GADE","Greater Adelaide","Q","Quarterly","2019-Q1","Mar-2019",0.6,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","4GADE","Greater Adelaide","Q","Quarterly","2019-Q2","Jun-2019",-0.4,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","4GADE","Greater Adelaide","Q","Quarterly","2019-Q3","Sep-2019",-1.1,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","4GADE","Greater Adelaide","Q","Quarterly","2019-Q4","Dec-2019",0.4,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","4GADE","Greater Adelaide","Q","Quarterly","2020-Q1","Mar-2020",1,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","4GADE","Greater Adelaide","Q","Quarterly","2020-Q2","Jun-2020",0.7,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","4GADE","Greater Adelaide","Q","Quarterly","2020-Q3","Sep-2020",2.9,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","4GADE","Greater Adelaide","Q","Quarterly","2020-Q4","Dec-2020",3.9,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","1GSYD","Greater Sydney","Q","Quarterly","2019-Q1","Mar-2019",-8.8,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","1GSYD","Greater Sydney","Q","Quarterly","2019-Q2","Jun-2019",-8.6,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","1GSYD","Greater Sydney","Q","Quarterly","2019-Q3","Sep-2019",-4.8,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","1GSYD","Greater Sydney","Q","Quarterly","2019-Q4","Dec-2019",2.1,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","1GSYD","Greater Sydney","Q","Quarterly","2020-Q1","Mar-2020",6.5,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","1GSYD","Greater Sydney","Q","Quarterly","2020-Q2","Jun-2020",6.1,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","1GSYD","Greater Sydney","Q","Quarterly","2020-Q3","Sep-2020",3.4,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","1GSYD","Greater Sydney","Q","Quarterly","2020-Q4","Dec-2020",1,,
"1","Index Number","1","Attached dwellings","6GHOB","Greater Hobart","Q","Quarterly","2019-Q1","Mar-2019",148.5,,
